zip,name,naics,est,n<5,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,city,stabbr,cty_name
15001,"ALIQUIPPA, PA",611///,3,N,N,N,N,N,N,N,N,N,ALIQUIPPA,PA,BEAVER
16354,"TITUSVILLE, PA",611///,3,N,N,N,N,N,N,N,N,N,TITUSVILLE,PA,CRAWFORD
16342,"POLK, PA",813///,3,N,N,N,N,N,N,N,N,N,POLK,PA,VENANGO
19055,"LEVITTOWN, PA",813///,3,N,N,N,N,N,N,N,N,N,LEVITTOWN,PA,BUCKS
16317,"COOPERSTOWN, PA",813///,3,N,N,N,N,N,N,N,N,N,COOPERSTOWN,PA,VENANGO
16255,"SLIGO, PA",813///,3,3,N,N,N,N,N,N,N,N,SLIGO,PA,CLARION
16246,"PLUMVILLE, PA",813///,3,3,N,N,N,N,N,N,N,N,PLUMVILLE,PA,INDIANA
16411,"EAST SPRINGFIELD, PA",813///,3,N,N,N,N,N,N,N,N,N,EAST SPRINGFIELD,PA,ERIE
19057,"LEVITTOWN, PA",611///,3,N,N,N,N,N,N,N,N,N,LEVITTOWN,PA,BUCKS
19061,"MARCUS HOOK, PA",611///,3,N,N,N,N,N,N,N,N,N,MARCUS HOOK,PA,DELAWARE
16141,"NEW GALILEE, PA",813///,3,N,N,N,N,N,N,N,N,N,NEW GALILEE,PA,BEAVER
19070,"MORTON, PA",611///,3,N,N,N,N,N,N,N,N,N,MORTON,PA,DELAWARE
19070,"MORTON, PA",813///,3,N,N,N,N,N,N,N,N,N,MORTON,PA,DELAWARE
16120,"ENON VALLEY, PA",813///,3,N,N,N,N,N,N,N,N,N,ENON VALLEY,PA,LAWRENCE
16112,"BESSEMER, PA",813///,3,N,N,N,N,N,N,N,N,N,BESSEMER,PA,LAWRENCE
16223,"DISTANT, PA",813///,3,N,N,N,N,N,N,N,N,N,DISTANT,PA,ARMSTRONG
16503,"ERIE, PA",611///,3,N,N,N,N,N,N,N,N,N,ERIE,PA,ERIE
19032,"FOLCROFT, PA",813///,3,3,N,N,N,N,N,N,N,N,FOLCROFT,PA,DELAWARE
19031,"FLOURTOWN, PA",813///,3,N,N,N,N,N,N,N,N,N,FLOURTOWN,PA,MONTGOMERY
18972,"UPPER BLACK EDDY, PA",813///,3,3,N,N,N,N,N,N,N,N,UPPER BLACK EDDY,PA,BUCKS
16826,"BLANCHARD, PA",813///,3,N,N,N,N,N,N,N,N,N,BLANCHARD,PA,CENTRE
16823,"BELLEFONTE, PA",611///,3,N,N,N,N,N,N,N,N,N,BELLEFONTE,PA,CENTRE
18977,"WASHINGTON CROSSING, PA",813///,3,N,N,N,N,N,N,N,N,N,WASHINGTON CROSSING,PA,BUCKS
19012,"CHELTENHAM, PA",611///,3,N,N,N,N,N,N,N,N,N,CHELTENHAM,PA,MONTGOMERY
16679,"SIX MILE RUN, PA",813///,3,N,N,N,N,N,N,N,N,N,SIX MILE RUN,PA,BEDFORD
16669,"PETERSBURG, PA",813///,3,N,N,N,N,N,N,N,N,N,PETERSBURG,PA,HUNTINGDON
19018,"CLIFTON HEIGHTS, PA",611///,3,N,N,N,N,N,N,N,N,N,CLIFTON HEIGHTS,PA,DELAWARE
16630,"CRESSON, PA",611///,3,N,N,N,N,N,N,N,N,N,CRESSON,PA,CAMBRIA
16620,"BRISBIN, PA",813///,3,3,N,N,N,N,N,N,N,N,BRISBIN,PA,CLEARFIELD
16613,"ASHVILLE, PA",813///,3,N,N,N,N,N,N,N,N,N,ASHVILLE,PA,CAMBRIA
19021,"CROYDON, PA",813///,3,N,N,N,N,N,N,N,N,N,CROYDON,PA,BUCKS
16512,"ERIE, PA",813///,3,3,N,N,N,N,N,N,N,N,ERIE,PA,ERIE
19031,"FLOURTOWN, PA",611///,3,N,N,N,N,N,N,N,N,N,FLOURTOWN,PA,MONTGOMERY
16507,"ERIE, PA",611///,3,N,N,N,N,N,N,N,N,N,ERIE,PA,ERIE
19075,"ORELAND, PA",611///,3,N,N,N,N,N,N,N,N,N,ORELAND,PA,MONTGOMERY
18970,"TRUMBAUERSVILLE, PA",813///,3,3,N,N,N,N,N,N,N,N,TRUMBAUERSVILLE,PA,BUCKS
