zip,name,naics,est,n<5,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,city,stabbr,cty_name
19112,"PHILADELPHIA, PA",813///,4,3,N,N,N,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19112,"PHILADELPHIA, PA",611///,4,N,N,N,N,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19110,"PHILADELPHIA, PA",813///,4,4,N,N,N,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19127,"PHILADELPHIA, PA",813///,4,N,N,N,N,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19129,"PHILADELPHIA, PA",611///,4,N,N,N,N,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19142,"PHILADELPHIA, PA",611///,4,N,N,N,N,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19150,"PHILADELPHIA, PA",611///,4,N,N,N,N,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19109,"PHILADELPHIA, PA",813///,5,3,N,N,N,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19101,"PHILADELPHIA, PA",813///,5,3,N,N,N,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19137,"PHILADELPHIA, PA",611///,5,N,N,N,N,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19139,"PHILADELPHIA, PA",611///,5,4,N,N,N,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19133,"PHILADELPHIA, PA",813///,5,4,N,N,N,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19127,"PHILADELPHIA, PA",611///,6,3,N,N,N,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19134,"PHILADELPHIA, PA",611///,6,N,N,N,N,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19133,"PHILADELPHIA, PA",611///,6,N,N,N,N,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19152,"PHILADELPHIA, PA",611///,7,N,N,N,N,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19135,"PHILADELPHIA, PA",611///,8,4,N,N,N,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19153,"PHILADELPHIA, PA",813///,8,6,N,N,N,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19137,"PHILADELPHIA, PA",813///,8,N,3,N,N,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19132,"PHILADELPHIA, PA",611///,8,3,N,N,N,3,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19136,"PHILADELPHIA, PA",611///,8,3,N,N,N,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19120,"PHILADELPHIA, PA",611///,8,N,N,N,N,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19128,"PHILADELPHIA, PA",611///,8,N,N,3,N,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19126,"PHILADELPHIA, PA",611///,8,6,N,N,N,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19111,"PHILADELPHIA, PA",611///,8,4,N,N,N,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19151,"PHILADELPHIA, PA",611///,9,5,N,N,N,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19148,"PHILADELPHIA, PA",611///,9,N,N,N,N,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19114,"PHILADELPHIA, PA",611///,9,N,N,N,4,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19129,"PHILADELPHIA, PA",813///,10,9,N,N,N,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
19154,"PHILADELPHIA, PA",611///,11,N,3,N,N,N,N,N,N,N,PHILADELPHIA,PA,PHILADELPHIA
