Zip Code,StudentEnrollment
19103,5972
19104,7896
19106,3308
19111,16794
19114,3216
19115,7726
19116,12536
19118,770
19119,2422
19120,16206
19121,10106
19122,4500
19123,6570
19124,25598
19125,6898
19126,1778
19127,460
19128,5888
19129,2572
19130,10168
19131,12462
19132,8100
19133,7034
19134,8652
19135,7674
19136,13546
19137,7310
19138,8096
19139,8062
19140,19858
19141,10682
19142,5752
19143,13188
19144,7310
19145,10424
19146,5556
19147,9802
19148,11684
19149,11286
19150,2400
19151,5592
19152,6522
19153,762
19154,7296
